CARDID_NUM,MERCH_ID,AMOUNT,DATE_TIME_SEC,TIME_DIFF,TRANS_TYPE_freq
824,0,70,1577885084,38991.70676691729,0.7569737954353339
824,45,100,1577886594,1510.0,0.7569737954353339
824,6,300,1577970817,84223.0,0.7569737954353339
824,32,250,1577972429,1612.0,0.15004226542688082
824,1,100,1578057590,85161.0,0.7569737954353339
824,40,150,1578058580,990.0,0.7569737954353339
824,46,2000,1578060007,1427.0,0.7569737954353339
824,1,100,1578143990,83983.0,0.7569737954353339
824,6,300,1578144724,734.0,0.7569737954353339
824,40,150,1578145751,1027.0,0.7569737954353339
824,40,150,1578230244,84493.0,0.7569737954353339
824,1,100,1578316790,86546.0,0.7569737954353339
824,38,100,1578317729,939.0,0.7569737954353339
824,14,150,1578320345,2616.0,0.7569737954353339
824,32,250,1578403874,83529.0,0.15004226542688082
824,40,150,1578405063,1189.0,0.7569737954353339
824,38,100,1578489801,84738.0,0.7569737954353339
824,1,100,1578575990,86189.0,0.7569737954353339
824,6,300,1578576724,734.0,0.7569737954353339
824,0,70,1578577725,1001.0,0.7569737954353339
824,1,100,1578662390,84665.0,0.7569737954353339
824,6,300,1578663124,734.0,0.7569737954353339
824,32,250,1578664736,1612.0,0.15004226542688082
824,6,300,1578748417,83681.0,0.7569737954353339
824,6,300,1578834817,86400.0,0.7569737954353339
824,32,250,1578836429,1612.0,0.15004226542688082
824,6,300,1578921217,84788.0,0.7569737954353339
824,38,100,1578922420,1203.0,0.7569737954353339
824,46,2000,1578924103,1683.0,0.7569737954353339
824,1,100,1579007990,83887.0,0.7569737954353339
824,32,250,1579095074,87084.0,0.15004226542688082
824,40,150,1579096263,1189.0,0.7569737954353339
824,12,200,1579098016,1753.0,0.7569737954353339
824,38,100,1579181001,82985.0,0.7569737954353339
824,40,150,1579181717,716.0,0.7569737954353339
824,0,70,1579267484,85767.0,0.7569737954353339
824,0,70,1579353884,86400.0,0.7569737954353339
824,38,100,1579354943,1059.0,0.7569737954353339
824,40,150,1579355659,716.0,0.7569737954353339
824,40,150,1579439844,84185.0,0.7569737954353339
824,38,100,1579526601,86757.0,0.7569737954353339
824,40,150,1579527317,716.0,0.7569737954353339
824,1,100,1579612790,85473.0,0.7569737954353339
824,6,300,1579698817,86027.0,0.7569737954353339
824,38,100,1579700020,1203.0,0.7569737954353339
824,46,2000,1579701703,1683.0,0.7569737954353339
824,1,100,1579785590,83887.0,0.7569737954353339
824,0,70,1579786189,599.0,0.7569737954353339
824,40,150,1579787423,1234.0,0.7569737954353339
824,45,100,1579872685,85262.0,0.7569737954353339
824,14,150,1579875638,2953.0,0.7569737954353339
824,1,100,1579958390,82752.0,0.7569737954353339
824,32,250,1579959639,1249.0,0.15004226542688082
824,40,150,1579960827,1188.0,0.7569737954353339
824,6,300,1580044417,83590.0,0.7569737954353339
824,1,100,1580131190,86773.0,0.7569737954353339
824,0,70,1580131789,599.0,0.7569737954353339
824,45,100,1580133299,1510.0,0.7569737954353339
824,32,250,1580218274,84975.0,0.15004226542688082
824,32,250,1580304674,86400.0,0.15004226542688082
824,32,250,1580391074,86400.0,0.15004226542688082
824,6,300,1580476417,85343.0,0.7569737954353339
824,14,150,1580478765,2348.0,0.7569737954353339
824,46,2000,1580481296,2531.0,0.7569737954353339
824,1,100,1580563190,81894.0,0.7569737954353339
824,6,300,1580563924,734.0,0.7569737954353339
